timesteps,episode_idx,ep_reward,ep_len,event,final_dist,min_dist,sum_r_progress,sum_r_close,sum_r_zem,approx_kl,clip_fraction,entropy_loss,explained_variance,value_loss,policy_gradient_loss,max_action_mag,max_accel_norm,time_to_hit
1660,1,-4249.526178,1660,running,67128.140625,inf,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,nan
2629,2,-2797.63403,969,running,193313.328125,inf,0.0,0.0,0.0,0.006643357686698437,0.02421875,-2.8438755959272384,0.0008023381233215332,12548.72723083496,-0.002294750272994861,0.0,0.0,nan
4260,3,-3540.581917,1631,running,201935.34375,inf,0.0,0.0,0.0,0.005966152064502239,0.020068359375,-2.8450738042593002,0.018677592277526855,4530.150762939453,-0.002295301001868211,0.0,0.0,nan
6280,4,-9006.515288,2020,running,106904.1484375,inf,0.0,0.0,0.0,0.0008405239786952734,9.765625e-05,-2.840279537439346,0.008675634860992432,18645.507066345213,-0.0007713887142017483,0.0,0.0,nan
7636,5,-3477.037536,1356,running,68266.21875,inf,0.0,0.0,0.0,0.0008405239786952734,9.765625e-05,-2.840279537439346,0.008675634860992432,18645.507066345213,-0.0007713887142017483,0.0,0.0,nan
8794,6,-3385.108046,1158,running,106896.390625,inf,0.0,0.0,0.0,0.0007616542279720306,0.000146484375,-2.8387486904859545,0.0018112659454345703,193505.2510864258,-0.0013908201159210875,0.0,0.0,nan
10846,7,-4444.192959,2052,running,70952.0078125,inf,0.0,0.0,0.0,0.006059510167688131,0.0263671875,-2.8404512077569963,0.05009490251541138,5606.380850219726,-0.00316433263651561,0.0,0.0,nan
12039,8,-3011.215971,1193,running,144044.59375,inf,0.0,0.0,0.0,0.006059510167688131,0.0263671875,-2.8404512077569963,0.05009490251541138,5606.380850219726,-0.00316433263651561,0.0,0.0,nan
13504,9,-3818.073893,1465,running,105513.65625,inf,0.0,0.0,0.0,0.0037385975010693073,0.003857421875,-2.8402538388967513,0.08915001153945923,7124.781912231445,-0.00241862399270758,0.0,0.0,nan
15305,10,-4490.654629,1801,running,117259.328125,inf,0.0,0.0,0.0,0.002672644564881921,0.00615234375,-2.8272464483976365,0.049874305725097656,11941.237693786621,-0.0021617900987621398,0.0,0.0,nan
17104,11,-4327.461415,1799,running,54892.37109375,inf,0.0,0.0,0.0,0.006797438021749258,0.018115234375,-2.827781143784523,0.07915782928466797,8836.16623840332,-0.001495874157990329,0.0,0.0,nan
18384,12,-3546.735642,1280,running,154320.890625,inf,0.0,0.0,0.0,0.006797438021749258,0.018115234375,-2.827781143784523,0.07915782928466797,8836.16623840332,-0.001495874157990329,0.0,0.0,nan
20187,13,-3965.98421,1803,running,162046.28125,inf,0.0,0.0,0.0,0.006795667111873627,0.021435546875,-2.8301865220069886,0.07623398303985596,10378.170138549805,-0.0026521755586145445,0.0,0.0,nan
22426,14,-4981.554708,2239,running,68717.2265625,inf,0.0,0.0,0.0,0.003209507092833519,0.0078125,-2.8288190364837646,0.16079580783843994,8438.222129821777,-0.0017071447204216384,0.0,0.0,nan
23619,15,-3393.644789,1193,running,124823.1171875,inf,0.0,0.0,0.0,0.002242351183667779,0.001220703125,-2.831699398159981,0.026810050010681152,17814.55916900635,-0.0005724337068386375,0.0,0.0,nan
24982,16,-3685.168876,1363,running,156474.515625,inf,0.0,0.0,0.0,0.005599554628133774,0.042822265625,-2.827748340368271,0.19769996404647827,5710.546195983887,-0.005658922460861504,0.0,0.0,nan
26409,17,-3180.265843,1427,running,87796.734375,inf,0.0,0.0,0.0,0.005599554628133774,0.042822265625,-2.827748340368271,0.19769996404647827,5710.546195983887,-0.005658922460861504,0.0,0.0,nan
27565,18,-2993.568649,1156,running,77985.4609375,inf,0.0,0.0,0.0,0.0018574832938611507,0.000732421875,-2.82401864528656,0.13122248649597168,18173.71469116211,-0.0009216671634931118,0.0,0.0,nan
28825,19,-3471.225399,1260,running,71439.6328125,inf,0.0,0.0,0.0,0.00961698591709137,0.059130859375,-2.8173538595438004,0.17736494541168213,4971.469807434082,-0.005237173836212606,0.0,0.0,nan
29894,20,-2984.526859,1069,running,192439.890625,inf,0.0,0.0,0.0,0.00961698591709137,0.059130859375,-2.8173538595438004,0.17736494541168213,4971.469807434082,-0.005237173836212606,0.0,0.0,nan
31569,21,-3973.376033,1675,running,104034.5625,inf,0.0,0.0,0.0,0.0046858107671141624,0.018359375,-2.806500220298767,0.169439435005188,9736.694467163086,-0.0030012563365744427,0.0,0.0,nan
33014,22,-3374.258935,1445,running,93454.421875,inf,0.0,0.0,0.0,0.01233541127294302,0.05234375,-2.8035120487213137,0.0791211724281311,18288.128564453124,-0.00390815768041648,0.0,0.0,nan
34407,23,-2802.436376,1393,running,178284.328125,inf,0.0,0.0,0.0,0.01233541127294302,0.05234375,-2.8035120487213137,0.0791211724281311,18288.128564453124,-0.00390815768041648,0.0,0.0,nan
36485,24,-2858.137385,2078,running,139501.421875,inf,0.0,0.0,0.0,0.0071061705239117146,0.05419921875,-2.8040681570768355,0.12995237112045288,10979.98127746582,-0.0031292295025195926,0.0,0.0,nan
37744,25,-3805.462814,1259,running,95328.90625,inf,0.0,0.0,0.0,0.004101974423974752,0.0369140625,-2.806763342022896,0.037683963775634766,16180.246668052674,-0.004663521182374097,0.0,0.0,nan
39501,26,-3891.71096,1757,running,84505.0234375,inf,0.0,0.0,0.0,0.000784812611527741,0.000244140625,-2.821319633722305,0.08679461479187012,17724.908456420897,-0.0007946391720906832,0.0,0.0,nan
40722,27,-2945.450835,1221,running,122372.6796875,inf,0.0,0.0,0.0,0.000784812611527741,0.000244140625,-2.821319633722305,0.08679461479187012,17724.908456420897,-0.0007946391720906832,0.0,0.0,nan
42422,28,-4748.463093,1700,running,83470.2265625,inf,0.0,0.0,0.0,0.001940220594406128,0.001171875,-2.8321916311979294,0.3078729510307312,7379.911494445801,-0.0016652628866722808,0.0,0.0,nan
43433,29,-2459.277255,1011,running,87808.5546875,inf,0.0,0.0,0.0,0.004808961413800716,0.0154296875,-2.833437368273735,0.082866370677948,13992.741432189941,-0.0027833348227431997,0.0,0.0,nan
44657,30,-7691.676415,1224,running,170055.140625,inf,0.0,0.0,0.0,0.004808961413800716,0.0154296875,-2.833437368273735,0.082866370677948,13992.741432189941,-0.0027833348227431997,0.0,0.0,nan
46185,31,-6828.009138,1528,running,145747.203125,inf,0.0,0.0,0.0,0.002038822276517749,0.004833984375,-2.838664320111275,0.03530585765838623,155396.08405761718,-0.002709235867951065,0.0,0.0,nan
47476,32,-2214.249929,1291,running,93374.59375,inf,0.0,0.0,0.0,0.00030188963864929974,0.0,-2.8387205004692078,0.01939702033996582,167845.10111083984,-0.00030004577711224557,0.0,0.0,nan
48420,33,-7816.747694,944,running,190959.78125,inf,0.0,0.0,0.0,0.00030188963864929974,0.0,-2.8387205004692078,0.01939702033996582,167845.10111083984,-0.00030004577711224557,0.0,0.0,nan
49751,34,-7763.308819,1331,running,116040.6015625,inf,0.0,0.0,0.0,0.0033771481830626726,0.004541015625,-2.8333026856184005,0.02039569616317749,185911.04611206055,-0.002585573439137079,0.0,0.0,nan
50776,35,-7009.000399,1025,running,71039.0078125,inf,0.0,0.0,0.0,0.0033771481830626726,0.004541015625,-2.8333026856184005,0.02039569616317749,185911.04611206055,-0.002585573439137079,0.0,0.0,nan
51826,36,-6963.616296,1050,running,167060.515625,inf,0.0,0.0,0.0,0.00038163125282153487,0.0,-2.8283766478300096,0.01716446876525879,366627.2845703125,-0.0005275391595205292,0.0,0.0,nan
53105,37,-7082.50391,1279,running,87260.6171875,inf,0.0,0.0,0.0,0.00038163125282153487,0.0,-2.8283766478300096,0.01716446876525879,366627.2845703125,-0.0005275391595205292,0.0,0.0,nan
54310,38,-2768.556483,1205,running,86364.9140625,inf,0.0,0.0,0.0,0.000896854733582586,9.765625e-05,-2.826130935549736,0.020504891872406006,336433.9782714844,-0.0010454726958414539,0.0,0.0,nan
55424,39,-6767.685038,1114,running,132135.828125,inf,0.0,0.0,0.0,0.006571661680936813,0.046240234375,-2.828215625882149,0.22628480195999146,6362.303765106201,-0.002873428608290851,0.0,0.0,nan
56239,40,-7152.494638,815,running,107625.84375,inf,0.0,0.0,0.0,0.006571661680936813,0.046240234375,-2.828215625882149,0.22628480195999146,6362.303765106201,-0.002873428608290851,0.0,0.0,nan
56984,41,-6136.379092,745,running,164471.34375,inf,0.0,0.0,0.0,0.006571661680936813,0.046240234375,-2.828215625882149,0.22628480195999146,6362.303765106201,-0.002873428608290851,0.0,0.0,nan
57846,42,-6604.065305,862,running,101268.234375,inf,0.0,0.0,0.0,0.0003346952435094863,0.0,-2.8365604311227797,0.03296828269958496,478144.9990234375,-0.0006565583753399551,0.0,0.0,nan
58657,43,-6615.813615,811,running,175303.34375,inf,0.0,0.0,0.0,0.0003346952435094863,0.0,-2.8365604311227797,0.03296828269958496,478144.9990234375,-0.0006565583753399551,0.0,0.0,nan
59887,44,-5550.493391,1230,running,144492.171875,inf,0.0,0.0,0.0,0.00038771043182350695,0.0,-2.8352685987949373,0.03326141834259033,336606.5352539063,-0.0002268427604576573,0.0,0.0,nan
60805,45,-6441.171066,918,running,99568.3984375,inf,0.0,0.0,0.0,0.00038771043182350695,0.0,-2.8352685987949373,0.03326141834259033,336606.5352539063,-0.0002268427604576573,0.0,0.0,nan
62189,46,-6551.16785,1384,running,124495.46875,inf,0.0,0.0,0.0,5.0194968935102224e-05,0.0,-2.8325447231531142,0.028224170207977295,312722.60302734375,-0.0001838062860770151,0.0,0.0,nan
62953,47,-6237.793508,764,running,71529.515625,inf,0.0,0.0,0.0,5.0194968935102224e-05,0.0,-2.8325447231531142,0.028224170207977295,312722.60302734375,-0.0001838062860770151,0.0,0.0,nan
63625,48,-6658.11098,672,running,94104.2890625,inf,0.0,0.0,0.0,0.001711047487333417,0.001171875,-2.8295956939458846,0.021441102027893066,328455.9443481445,-0.0021837439402588644,0.0,0.0,nan
64726,49,-6711.829733,1101,running,195182.078125,inf,0.0,0.0,0.0,0.001711047487333417,0.001171875,-2.8295956939458846,0.021441102027893066,328455.9443481445,-0.0021837439402588644,0.0,0.0,nan
66043,50,-6835.639138,1317,running,82837.171875,inf,0.0,0.0,0.0,0.0002919877879321575,0.0,-2.8303123712539673,0.03425532579421997,294949.35649414064,-0.000338649409241043,0.0,0.0,nan
66854,51,-6841.10776,811,running,130363.734375,inf,0.0,0.0,0.0,0.0002919877879321575,0.0,-2.8303123712539673,0.03425532579421997,294949.35649414064,-0.000338649409241043,0.0,0.0,nan
67724,52,-6649.442355,870,running,183656.421875,inf,0.0,0.0,0.0,0.0017274576239287853,0.00166015625,-2.8303644120693208,0.023872852325439453,359376.3611328125,-0.0027297096385154873,0.0,0.0,nan
68952,53,-6872.233908,1228,running,67462.109375,inf,0.0,0.0,0.0,0.0017274576239287853,0.00166015625,-2.8303644120693208,0.023872852325439453,359376.3611328125,-0.0027297096385154873,0.0,0.0,nan
69596,54,-6369.143109,644,running,172666.25,inf,0.0,0.0,0.0,0.0017274576239287853,0.00166015625,-2.8303644120693208,0.023872852325439453,359376.3611328125,-0.0027297096385154873,0.0,0.0,nan
70665,55,-5751.066423,1069,running,126547.7734375,inf,0.0,0.0,0.0,0.0015291327144950628,0.000244140625,-2.830620875954628,0.025948286056518555,496689.430859375,-0.0021514458843739704,0.0,0.0,nan
71568,56,-5823.036302,903,running,158275.3125,inf,0.0,0.0,0.0,0.0015291327144950628,0.000244140625,-2.830620875954628,0.025948286056518555,496689.430859375,-0.0021514458843739704,0.0,0.0,nan
72785,57,-6721.506863,1217,running,106733.7421875,inf,0.0,0.0,0.0,0.0007170748431235552,0.0,-2.8293469309806825,0.04547828435897827,306035.2687988281,-0.0009898320597130806,0.0,0.0,nan
73612,58,-6301.629669,827,running,118185.265625,inf,0.0,0.0,0.0,0.0007170748431235552,0.0,-2.8293469309806825,0.04547828435897827,306035.2687988281,-0.0009898320597130806,0.0,0.0,nan
74478,59,-5927.33562,866,running,182190.34375,inf,0.0,0.0,0.0,0.0011396523332223296,0.000341796875,-2.8275371730327605,0.029579758644104004,346328.2438964844,-0.0008634940313640982,0.0,0.0,nan
75584,60,-6560.533623,1106,running,106567.9375,inf,0.0,0.0,0.0,0.0011396523332223296,0.000341796875,-2.8275371730327605,0.029579758644104004,346328.2438964844,-0.0008634940313640982,0.0,0.0,nan
76682,61,-6393.47175,1098,running,159914.5,inf,0.0,0.0,0.0,0.0009468002244830132,0.0001953125,-2.81952261030674,0.03807193040847778,349485.4888671875,-0.001696308136160951,0.0,0.0,nan
77731,62,-6335.559111,1049,running,149955.53125,inf,0.0,0.0,0.0,0.0009468002244830132,0.0001953125,-2.81952261030674,0.03807193040847778,349485.4888671875,-0.001696308136160951,0.0,0.0,nan
78644,63,-5276.969187,913,running,125627.09375,inf,0.0,0.0,0.0,0.00016449976828880608,0.0,-2.813136410713196,0.02891862392425537,335349.6087402344,-0.00042719429620774463,0.0,0.0,nan
79584,64,-6298.72158,940,running,172093.578125,inf,0.0,0.0,0.0,0.00016449976828880608,0.0,-2.813136410713196,0.02891862392425537,335349.6087402344,-0.00042719429620774463,0.0,0.0,nan
80542,65,-5856.075864,958,running,182246.171875,inf,0.0,0.0,0.0,0.0006936728022992611,9.765625e-05,-2.8167542994022368,0.053087055683135986,305087.13657226565,-0.0005363344942452386,0.0,0.0,nan
81423,66,-5565.404316,881,running,112600.9921875,inf,0.0,0.0,0.0,0.0006936728022992611,9.765625e-05,-2.8167542994022368,0.053087055683135986,305087.13657226565,-0.0005363344942452386,0.0,0.0,nan
82172,67,-5831.237581,749,running,65868.96875,inf,0.0,0.0,0.0,0.0015182208735495806,0.00087890625,-2.8179421335458756,0.04917401075363159,324738.82426757814,-0.001084732374874875,0.0,0.0,nan
82789,68,-6815.236881,617,running,129163.6171875,inf,0.0,0.0,0.0,0.0015182208735495806,0.00087890625,-2.8179421335458756,0.04917401075363159,324738.82426757814,-0.001084732374874875,0.0,0.0,nan
83733,69,-5615.448033,944,running,178666.796875,inf,0.0,0.0,0.0,0.0015182208735495806,0.00087890625,-2.8179421335458756,0.04917401075363159,324738.82426757814,-0.001084732374874875,0.0,0.0,nan
84987,70,-6418.163501,1254,running,90975.7265625,inf,0.0,0.0,0.0,0.0018233883893117309,0.001318359375,-2.8124623984098434,0.044733524322509766,434688.34453125,-0.002073568501509726,0.0,0.0,nan
85648,71,-6080.972202,661,running,128060.8125,inf,0.0,0.0,0.0,0.0018233883893117309,0.001318359375,-2.8124623984098434,0.044733524322509766,434688.34453125,-0.002073568501509726,0.0,0.0,nan
86701,72,-6231.593671,1053,running,86465.8046875,inf,0.0,0.0,0.0,0.003423019079491496,0.01123046875,-2.8060595452785493,0.03359287977218628,345500.73662109376,-0.003188848285935819,0.0,0.0,nan
87439,73,-6192.067879,738,running,182061.671875,inf,0.0,0.0,0.0,0.003423019079491496,0.01123046875,-2.8060595452785493,0.03359287977218628,345500.73662109376,-0.003188848285935819,0.0,0.0,nan
88698,74,-6198.91248,1259,running,140087.5625,inf,0.0,0.0,0.0,0.00028074620058760047,0.0,-2.804507830739021,0.0383109450340271,308333.9903320313,-0.000626032444415614,0.0,0.0,nan
89923,75,-5756.412637,1225,running,138113.96875,inf,0.0,0.0,0.0,0.00028074620058760047,0.0,-2.804507830739021,0.0383109450340271,308333.9903320313,-0.000626032444415614,0.0,0.0,nan
90980,76,-5898.185844,1057,running,103460.6953125,inf,0.0,0.0,0.0,0.0019468017853796482,0.002880859375,-2.8039156556129456,0.03665095567703247,351332.7526855469,-0.0026034348644316196,0.0,0.0,nan
91808,77,-6317.138281,828,running,72568.46875,inf,0.0,0.0,0.0,0.0019468017853796482,0.002880859375,-2.8039156556129456,0.03665095567703247,351332.7526855469,-0.0026034348644316196,0.0,0.0,nan
92691,78,-5949.230628,883,running,100702.234375,inf,0.0,0.0,0.0,0.0024970374070107937,0.00361328125,-2.8017039388418197,0.03483724594116211,324297.0476074219,-0.002184683521045372,0.0,0.0,nan
93494,79,-5872.12246,803,running,92714.65625,inf,0.0,0.0,0.0,0.0024970374070107937,0.00361328125,-2.8017039388418197,0.03483724594116211,324297.0476074219,-0.002184683521045372,0.0,0.0,nan
94631,80,-6038.868322,1137,running,110323.1015625,inf,0.0,0.0,0.0,0.0034796283580362797,0.016943359375,-2.790851593017578,0.036801040172576904,276361.9620117188,-0.003664094430860132,0.0,0.0,nan
95199,81,-7178.249468,568,running,179431.671875,inf,0.0,0.0,0.0,0.0034796283580362797,0.016943359375,-2.790851593017578,0.036801040172576904,276361.9620117188,-0.003664094430860132,0.0,0.0,nan
96057,82,-6619.273771,858,running,93636.0390625,inf,0.0,0.0,0.0,0.0034796283580362797,0.016943359375,-2.790851593017578,0.036801040172576904,276361.9620117188,-0.003664094430860132,0.0,0.0,nan
96893,83,-6020.106179,836,running,149558.875,inf,0.0,0.0,0.0,0.0009340967517346144,0.0001953125,-2.789999622106552,0.03574573993682861,547316.361328125,-0.0012188742693979293,0.0,0.0,nan
97782,84,-6428.044317,889,running,97386.25,inf,0.0,0.0,0.0,0.0009340967517346144,0.0001953125,-2.789999622106552,0.03574573993682861,547316.361328125,-0.0012188742693979293,0.0,0.0,nan
98535,85,-5453.553294,753,running,85408.1953125,inf,0.0,0.0,0.0,0.0006605037488043308,0.0,-2.793346533179283,0.0392380952835083,336447.5197753906,-0.0007045464328257367,0.0,0.0,nan
1660,1,-4252.906168,1660,running,67128.140625,inf,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,nan
2629,2,-2799.170382,969,running,193313.328125,inf,0.0,0.0,0.0,0.00618790416046977,0.020068359375,-2.8439973056316377,0.0007919073104858398,15338.67271118164,-0.002094528594170697,0.0,0.0,nan
4260,3,-3560.738524,1631,running,201935.34375,inf,0.0,0.0,0.0,0.005700128152966499,0.017919921875,-2.845204710960388,0.017757952213287354,5862.224758911133,-0.0022035034489817917,0.0,0.0,nan
6225,4,-8823.939502,1965,running,106904.1484375,inf,0.0,0.0,0.0,0.0009050886146724224,9.765625e-05,-2.8409003049135206,0.00850212574005127,22592.423391723634,-0.0008489052444929257,0.0,0.0,nan
